Powiat,URL
Powiat pułtuski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/142400
Powiat siedlecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/142600
Powiat sokołowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/142900
Powiat węgrowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/143300
Powiat wyszkowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/143500
Miasto na prawach powiatu Ostrołęka,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/146100
Miasto na prawach powiatu Siedlce,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/146400
Warszawa,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/146501
Statki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/149800
Zagranica,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/149900
Powiat grodziski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/140500
Powiat legionowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/140800
Powiat nowodworski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/141400
Powiat otwocki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/141700
Powiat piaseczyński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/141800
Powiat pruszkowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/142100
Powiat warszawski zachodni,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/143200
Powiat wołomiński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/143400
Powiat brzeski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/160100
Powiat głubczycki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/160200
Powiat kędzierzyńsko-kozielski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/160300
Powiat kluczborski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/160400
Powiat krapkowicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/160500
Powiat namysłowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/160600
Powiat nyski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/160700
Powiat oleski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/160800
